Пункт пропуска,Код
Все,
Адлер,15
Амурзет,383583
Армянск,29366
Багратионовск,29357
Благовещенск,383582
Большой Уссурийский,386337
Борисоглебск,74
Брунишево,19
Брусничное,80
Бугаевка,41
Бурачки,76
Валуйки,46
Вериговка,47
Верхнеблаговещенский,386340
Верхний Ларс,37
Верхний Ульхун,3
Весело-Вознесенка,25
Волошино,34
Вяртсиля,78
Гарах,77
Грайворон,48
Гуково,35
Гусев,29371
Джанкой,29361
Донецк (Изварино),57
Забайкальск,11
Ивангород,32
Инари,73
Кани-Курган,386363
Колотиловка,49
Краскино,65
Крупец,75
Куйбышево (Мариновка),26
Куничина гора,12
Кяхта,383579
Логачевка,50
Ломаковка,23
Лотта,52
Лудонка,10
Люття,383883
Мамоново (Гжехотки),29364
Мамоново (Гроново),29363
Марково,64
Матвеев Курган,40
Монды,70
Морское,384300
Нехотеевка,56
Нижнеленинское,383584
Нижний Зарамаг (Рук),58
Новобелая,39
Ново-Филя,383575
Новошахтинск,44
Новые Юрковичи,27
Олочи,4
Перекоп,29362
Погар,33
Пограничный (ДВТУ),386356
Пограничный (КОТ),384829
Покровка,384467
Полтавка,66
Поярково,386347
Ровеньки,53
Салла,59
Светогоpск,383576
Сковородино,383586
Советск,29365
Соловьевск,60
Староцурухайтуйский,5
Суджа,30
Суоперя,68
Сювяоро,383585
Тагиркент-Казмаляр,72
Ташанта,7
Теткино (Рыжовка),71
Тишанка,54
Торфяновка,147
Троебортное,28
Турий Рог,63
Убылинка,42
Хандагайты (Боршо),269
Цаган-Толгой,226
Чернышевское,29372
Чертково,43
Шара-Сур,223
Шебекино,55
Шумилкино,20
Яраг-Казмаляр,18
